通し番号,重要度,カテゴリ,該当箇所,問題点,改善策
1,★★★★★,UI/UX,トップページ,言語選択のみでライブラリの正体が不明,キャッチコピー、特徴、デモコードを統合する
2,★★★★☆,UI/UX,トップページ,「Next」ボタンの遷移先が不透明,明確な「Getting Started」への誘導ボタンにする
3,★★★★★,構築,インストール,PyPI/Condaが「近日対応」で信頼性不足,リリースまでに正規リポジトリから導入可能にする
4,★★★★☆,構築,インストール,OS（Windows/Mac/Linux）別の差異が不明,タブ切り替え形式でOS別コマンドを併記する
5,★★★★☆,コンテンツ,実例ギャラリー,画像がなく文字だけのリストで直感性がない,各事例の結果プロットをサムネイル表示する
6,★★★★★,コンテンツ,GWpyユーザー向け,GWpyとの具体的なコード差分が見えにくい,左右にコードを並べた比較表を導入する
7,★★★★☆,UI/UX,サイドバー,メニュー階層が深すぎて現在地を見失う,階層を整理し、現在位置をハイライト強調する
8,★★★☆☆,技術,サイト内検索,日本語のキーワード検索がヒットしにくい,日本語対応の検索プラグインや重み付けを調整する
9,★★★★★,技術,リファレンス,Docstringが1行のみで使い方が不明,全主要クラスに「Example」セクションを追加する
10,★★★☆☆,UI/UX,コードブロック,コードのコピーボタンがなく不便,ツールチップ付きの「Copy」ボタンを設置する
11,★★★★☆,信頼性,サイト全体,更新履歴（Changelog）がなく進化が見えない,バージョンごとの変更点をまとめたページを新設
12,★★★★☆,信頼性,サポート,バグ報告や質問の窓口が不明確,IssueやDiscussionへの導線を明確化する
13,★★★☆☆,コンテンツ,全般,カタカナ語と英語の混在（用語の揺れ）,専門用語の表記ルールを策定し、用語集を作る
14,★★★★☆,信頼性,はじめに,論文等での引用方法の指定がない,BibTeX形式等のCitationスニペットを掲載する
15,★★★★☆,UI/UX,サイト全体,言語切り替えがトップに戻る仕様で不便,閲覧中のページの他言語版へ直接飛べるようにする
16,★★★★☆,UI/UX,サイト全体,スマホ表示で巨大な表が横に突き抜ける,レスポンシブ対応（横スクロール等）を徹底する
17,★★★★☆,コンテンツ,数式,LaTeXのフォントが小さく読みづらい,KaTeX等の高速・高精細なエンジンへ更新する
18,★★☆☆☆,UI/UX,サイト全体,ブラウザのファビコンがSphinx標準のまま,GWexpy独自のロゴアイコンを設定する
19,★★★☆☆,技術,メタデータ,SNSシェア時のプレビュー（OGP）が未設定,タイトルと画像が正しく表示されるよう設定する
20,★★★☆☆,UI/UX,外部リンク,外部ドキュメントが同タブで開いて離脱する,別タブ（_blank）で開く設定とアイコンを付与
21,★★★★☆,UI/UX,ダークモード,ダークモード時の文字色が背景に埋もれる,カラーコントラストの検証とスタイル調整を行う
22,★★★☆☆,技術,検索結果,検索スニペットの文章が支離滅裂,メタタグのdescriptionを各ページに設定する
23,★★★★☆,信頼性,アルゴリズム,「検証済み」の客観的な証拠が見えない,テスト通過バッジや精度比較グラフを表示する
24,★★★★★,構築,FAQ,nds2等の依存関係エラーの解決策がない,トラブルシューティング専用ページを新設する
25,★★★★☆,コンテンツ,解析例,プロットが静止画で細部を検証できない,Plotly等によるインタラクティブな図を導入する
26,★★★★☆,コンテンツ,クイックスタート,データの取得方法が手元のファイル前提,GWOSCからのオープンデータ取得例を冒頭に置く
27,★★★☆☆,UI/UX,コンテンツ,長いページでセクション移動がしづらい,右側にページ内目次（In-page TOC）を表示する
28,★★☆☆☆,信頼性,画像,スクリーンリーダー向けのAltテキストがない,画像の内容を具体的に説明するAlt属性を付与
29,★★★★☆,技術,API,APIの破壊的変更のリスクが不明,各機能に「Stable/Experimental」のラベルを付与
30,★★★☆☆,信頼性,開発,テストの網羅率が外部から見えない,Codecov等のカバレッジ数値を公開する
31,★★★☆☆,コンテンツ,サイト全体,オフライン環境でドキュメントが読めない,PDF版やePub版のダウンロード提供を行う
32,★★★★☆,コンテンツ,案内,ユーザー層（学生/プロ）別の導線がない,ペルソナ別の「学習パス」をカード形式で配置
33,★★★★☆,信頼性,フッター,ライセンスと免責事項が目立たない,利用規約と科学的免責事項を明記する
34,★★★★★,UI/UX,サイト全体,RTD標準テーマが古臭く威圧感がある,Furo等のモダンで情報の整理されたテーマに変更
35,★★★★☆,技術,API,型ヒントがドキュメントに反映されていない,型情報を自動抽出してリファレンスに表示する
36,★★★☆☆,コンテンツ,補助ツール,頻出関数をすぐに調べられない,1枚で読める「チートシート」PDFを作成する
37,★★★☆☆,コンテンツ,構造,モジュール間の依存関係が複雑で不明瞭,アーキテクチャの依存関係図を掲載する
38,★★★★☆,コンテンツ,チュートリアル,成功例だけで「失敗しやすい例」がない,陥りやすい罠と回避策（アンチパターン）を掲載
39,★★★★☆,信頼性,サンプルコード,記載コードが最新版で動く保証がない,CIでdoctestを実行し「動作確認済」を表示する
40,★★★☆☆,技術,検索,どうでもいいページが検索上位に来る,重要ページの検索スコアを高く設定する
41,★★★★★,科学,数値安定性,数値誤差や計算破綻の視覚的実例がない,「標準 vs 堅牢アルゴリズム」の比較画像を掲載
42,★★★☆☆,信頼性,今後の予定,開発が継続されるのか不安,今後1年間のロードマップ（予定機能）を公開
43,★★★★☆,コンテンツ,時刻変換,"対応している型（numpy, pandas等）が不明瞭",縦横軸に「入力・出力」をとった変換表を置く
44,★★★★☆,コンテンツ,時刻変換,関数が多くどれを使うべきか迷う,万能関数 tconvert の使用を最優先で推奨する
45,★★★★★,コンテンツ,ScalarField,「4次元維持」の挙動がコードのみで難解,NumPyとの比較を含む次元維持の図解を追加
46,★★★★☆,コンテンツ,アルゴリズム,数式とAPI関数の紐付けが弱い,数式のすぐ横に関数名とリファレンスリンクを置く
47,★★★☆☆,コンテンツ,物理,内部的なデータ処理の順序が見えない,フーリエ空間への遷移を含むデータフロー図を掲載
48,★★★★★,コンテンツ,導入,最初のプロットが出るまでが長い,3行で完結する「最短解析コード」を冒頭に置く
49,★★★☆☆,技術,API,依存先（GWpy等）のリファレンスへ飛べない,Intersphinxを有効化し相互リンクを貼る
50,★★★★☆,コンテンツ,目次,専門用語ばかりで内容が想像しにくい,主要なグラフから探せるビジュアルインデックスを作成
51,★★★★☆,科学,時刻,閏秒の取り扱いポリシーが不明,閏秒処理の根拠と更新状況を明文化する
52,★★★★☆,コンテンツ,FAQ,実行時エラーから原因が特定できない,「エラーメッセージ逆引き辞典」を作成する
53,★★★★☆,コンテンツ,解析,計算が重いのか軽いのかの目安がない,典型的なデータ量に対する実行時間・メモリを記載
54,★★★☆☆,技術,開発者向け,独自プラグインの作り方が不明,クラス継承や拡張方法を記した内部ガイドを新設
55,★★★☆☆,コンテンツ,サンプルコード,コード内のコメントが物理的意図を欠いている,物理的な「なぜこの値か」をコメントに含める
56,★★★☆☆,コンテンツ,チュートリアル,難易度がバラバラで学習順が不明,初級・中級・上級のラベルと順序を明確にする
57,★★★★☆,信頼性,トップ,作作者の意図（なぜGWpy拡張か）が見えない,開発の背景とミッション（思想）を掲載する
58,★★★☆☆,UI/UX,サイト全体,改善要望を伝える手段がない,各ページ末尾にフィードバックボタンを設置
59,★★★★☆,コンテンツ,全般,専門用語が注釈なしに多用されている,用語へのホバーで定義が出るツールチップを導入
60,★★★☆☆,技術,信頼性,外部リンクが切れている可能性がある,リンクチェッカーをCIに導入し、リンク切れを防ぐ
