cell_id,xml_type,subtype,backend,surface,reader_class,product_claim,status,reason,evidence_ref
Spectrum/0:external:normalize:-,Spectrum,0,external,normalize,-,FFT; Y payload; floatComplex/complex64 from subtype source survey,observed,"Parser source/actual decode recognizes the declared subtype, while the current product normalizer does not emit the corresponding FFT/STF product.",docs/plans/2026-09-25-diaggui-xml-product-audit.md#fft-stf-and-other-subtypes; gwexpy/io/dttxml_common.py::load_dttxml_products
Spectrum/0:external:explicit:TimeSeries,Spectrum,0,external,explicit,TimeSeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:external:explicit:TimeSeriesDict,Spectrum,0,external,explicit,TimeSeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:external:explicit:TimeSeriesMatrix,Spectrum,0,external,explicit,TimeSeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:external:explicit:FrequencySeries,Spectrum,0,external,explicit,FrequencySeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:external:explicit:FrequencySeriesDict,Spectrum,0,external,explicit,FrequencySeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:external:explicit:FrequencySeriesMatrix,Spectrum,0,external,explicit,FrequencySeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:external:auto:TimeSeries,Spectrum,0,external,auto,TimeSeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:external:auto:TimeSeriesDict,Spectrum,0,external,auto,TimeSeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:external:auto:TimeSeriesMatrix,Spectrum,0,external,auto,TimeSeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
